Tue May  7 15:36:49 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:38:35 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:38:41 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:38:42 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:38:45 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:38:45 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:38:46 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:38:47 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:38:47 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:38:48 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:38:51 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:38:51 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:38:52 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:38:53 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:38:53 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:38:54 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:38:57 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:38:57 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:38:58 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:38:59 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:38:59 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:00 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:03 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:03 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:04 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:05 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:05 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:06 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:09 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:09 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:10 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:11 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:11 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:12 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:15 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
